Codigo;Nombre estacion;Inicio;Fin;Latitud;Longitud;X;Y;Elevacion;Departamento;% de faltantes;Tendencia;Beta;M24;PP media
54010020;Linea La Porvenir;11/08/1970;29/07/2025;5.2035;-76.00697222;4666750.875;2133771.964;1560;Risaralda;9.56;No;-0.519;82.94;2609.04
54015010;Pueblo Rico  - Aut;13/09/1973;11/08/2025;5.233444444;-76.03163889;4664030.622;2137098.356;1505;Risaralda;27.77;No;-0.528;65.57;2276.01
23110060;Padilla;1/06/1984;30/05/2025;6.193611111;-74.33305556;4852570.316;2242567.477;171;Santander;4.07;No;-0.627;111.53;2669.298168
23120200;Puerto Araujo Alertas;1/11/1979;31/01/2025;6.533888889;-74.0825;4880362.965;2280111.537;118;Santander;4.05;No;-0.611;116.63;2857.921389
23125050;Carare;14/08/1974;13/08/2025;6.649444444;-74.06138889;4882723.573;2292877.656;168;Santander;8.82;No;-0.647;122.6;2894.534122
23155040;Centro El;1/01/1934;13/08/2025;6.859555556;-73.76508333;4915502.116;2316036.77;114;Santander;13.36;Sí;-0.632;120.19;2735.89
23180020;Puerto Wilches;1/06/1958;13/08/2025;7.348611111;-73.89305556;4901471.67;2370109.613;73;Santander;4.58;No;-0.603;117.22;2868.877961
23180120;Coquera La;5/08/1974;1/03/2025;7.222777778;-73.91916667;4898562.372;2356208.653;170;Santander;3.13;No;-0.604;116.46;2895.343664
24050110;Albania;20/07/1973;31/05/2025;6.911944444;-73.63222222;4930183.961;2321804.807;216;Santander;1.77;No;-0.625;114.73;2404.564713
24065010;Hacienda Las Brisas;18/07/1973;31/05/2025;7.246111111;-73.79;4912822.41;2358760.57;138;Santander;9.65;No;-0.615;116.73;2915.67364
23120070;Puerto Araujo;7/10/1959;30/06/1995;6.533333333;-74.11666667;4876586.294;2280058.385;160;Santander;6.54;Sí;-0.6;100.5;2793.64506
